vitrine2 <-  qualidade_produto1 Vendedor1 (57.1 , 2.0 )

vitrine1 <-  Vizualizacao_externa1 localizacao6 (100.0 , 0.3 )

vitrine1 <-  variedade_cores1 atendimento1 (50.0 , 0.6 )

vitrine1 <-  Vizualizacao_externa2 localizacao5 (50.0 , 0.6 )

vitrine1 <-  provador1 Vendedor2 (50.0 , 1.1 )

vitrine1 <-  variedade_tamanhos1 qualidade_produto5 (50.0 , 0.6 )

vitrine1 <-  qualidade_produto1 aparencia_loja2 (50.0 , 0.6 )

vitrine1 <-  atendimento6 formas_pagamento3 aparencia_loja1 (50.0 , 0.6 )

vitrine1 <-  variedade_tamanhos2 divulgacao2 variedade_cores5 (50.0 , 0.6 )

vitrine1 <-  qualidade_produto2 provador2 variedade_tamanhos5 (50.0 , 0.6 )

vitrine1 <-  variedade_tamanhos3 SimRetornou formas_pagamento1 (100.0 , 0.3 )

provador <-  qualidade_produtonr (100.0 , 0.6 )

provador <-  Vizualizacao_externanr (100.0 , 0.6 )

provador <-  vitrinenr (100.0 , 0.6 )

provador <-  variedade_coresnr (100.0 , 0.6 )

provador <-  aparencia_lojanr (66.7 , 0.8 )

provador <-  localizacaonr (100.0 , 0.8 )

provador <-  variedade_tamanhosnr (75.0 , 1.1 )

provador <-  formas_pagamentonr (75.0 , 1.1 )

provador <-  divulgacaonr (75.0 , 1.1 )

provador <-  atendimentonr (80.0 , 1.4 )

provador <-  formas_pagamento5 localizacao2 (100.0 , 0.3 )

provador <-  aparencia_loja5 qualidade_produto5 tarde (100.0 , 0.6 )

provador <-  Vizualizacao_externa3 Vendedor3 atendimento5 (50.0 , 0.6 )

provador <-  Vendedor1 noite divulgacao1 (50.0 , 0.6 )

aparencia_lojanr <-  qualidade_produtonr (100.0 , 0.6 )

aparencia_lojanr <-  Vizualizacao_externanr (100.0 , 0.6 )

aparencia_lojanr <-  vitrinenr (100.0 , 0.6 )

aparencia_lojanr <-  variedade_coresnr (50.0 , 0.6 )

aparencia_lojanr <-  localizacaonr (66.7 , 0.8 )

aparencia_lojanr <-  variedade_tamanhosnr (50.0 , 1.1 )

aparencia_lojanr <-  formas_pagamentonr (50.0 , 1.1 )

aparencia_lojanr <-  divulgacaonr variedade_cores4 (100.0 , 0.3 )

aparencia_lojanr <-  atendimentonr provador (50.0 , 1.1 )

aparencia_lojanr <-  localizacao2 provador5 vitrine5 (50.0 , 0.6 )

localizacaonr <-  qualidade_produtonr (100.0 , 0.6 )

localizacaonr <-  Vizualizacao_externanr (100.0 , 0.6 )

localizacaonr <-  vitrinenr (100.0 , 0.6 )

localizacaonr <-  variedade_coresnr (100.0 , 0.6 )

localizacaonr <-  aparencia_lojanr (66.7 , 0.8 )

localizacaonr <-  variedade_tamanhosnr (75.0 , 1.1 )

localizacaonr <-  formas_pagamentonr (75.0 , 1.1 )

localizacaonr <-  divulgacaonr (50.0 , 1.1 )

localizacaonr <-  atendimentonr (60.0 , 1.4 )

localizacaonr <-  provador (50.0 , 1.7 )

localizacaonr <-  aparencia_loja5 qualidade_produto5 tarde (50.0 , 0.6 )

qualidade_produtonr <-  Vizualizacao_externanr (100.0 , 0.6 )

qualidade_produtonr <-  vitrinenr (100.0 , 0.6 )

qualidade_produtonr <-  variedade_coresnr (50.0 , 0.6 )

qualidade_produtonr <-  aparencia_lojanr (66.7 , 0.8 )

qualidade_produtonr <-  localizacaonr (66.7 , 0.8 )

qualidade_produtonr <-  variedade_tamanhosnr (50.0 , 1.1 )

qualidade_produtonr <-  formas_pagamentonr (50.0 , 1.1 )

qualidade_produtonr <-  divulgacaonr variedade_cores4 (100.0 , 0.3 )

qualidade_produtonr <-  atendimentonr provador (50.0 , 1.1 )

vitrinenr <-  qualidade_produtonr (100.0 , 0.6 )

vitrinenr <-  Vizualizacao_externanr (100.0 , 0.6 )

vitrinenr <-  variedade_coresnr (50.0 , 0.6 )

vitrinenr <-  aparencia_lojanr (66.7 , 0.8 )

vitrinenr <-  localizacaonr (66.7 , 0.8 )

vitrinenr <-  variedade_tamanhosnr (50.0 , 1.1 )

vitrinenr <-  formas_pagamentonr (50.0 , 1.1 )

vitrinenr <-  divulgacaonr variedade_cores4 (100.0 , 0.3 )

vitrinenr <-  atendimentonr provador (50.0 , 1.1 )

atendimento6 <-  Vizualizacao_externa1 formas_pagamento3 (100.0 , 0.3 )

atendimento6 <-  vitrine1 provador2 (50.0 , 0.6 )

atendimento6 <-  variedade_cores6 localizacao6 (66.7 , 0.8 )

atendimento6 <-  formas_pagamento5 qualidade_produto2 (50.0 , 0.6 )

atendimento6 <-  divulgacao5 Vizualizacao_externa2 (100.0 , 0.3 )

atendimento6 <-  localizacao5 vitrine2 (100.0 , 0.6 )

atendimento6 <-  provador1 divulgacao3 (100.0 , 0.3 )

atendimento6 <-  variedade_tamanhos1 divulgacao4 (50.0 , 0.6 )

atendimento6 <-  aparencia_loja1 vitrine4 (50.0 , 2.3 )

atendimento6 <-  formas_pagamento4 tarde (100.0 , 0.8 )

